Ranking,Title,Sales,Platforms,Developer,YearReleased,Image,Wikipedia-link
1,Minecraft,"200,000,000",Multiple Platforms,Mojang,2011,img01,https://en.wikipedia.org/wiki/Minecraft
2,Grand Theft Auto V,"140,000,000",Multiple Platforms,Rockstar North,2013,img02,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V
3,Tetris (EA),"100,000,000",Mobile,EA Mobile,2006,img03,https://en.wikipedia.org/wiki/Tetris_(Electronic_Arts)
4,Wii Sports,"82,900,000",Wii,Nintendo,2006,img04,https://en.wikipedia.org/wiki/Wii_Sports
5,PUBG (Player Unknown's Battlegrounds),"70,000,000",Multiple Platforms,PUBG Corporation,2017,img05,https://en.wikipedia.org/wiki/PlayerUnknown%27s_Battlegrounds
6,Super Mario Bros,"58,000,000",Multiple Platforms,Nintendo,1985,img06,https://en.wikipedia.org/wiki/Super_Mario_Bros.
7,Pokemon Red/Blue,"47,520,000",Game Boy Color,Game Freak,1996,img07,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Red_and_Blue
8,Wii Fit,"43,800,000",Wii,Nintendo,2007,img08,https://en.wikipedia.org/wiki/Wii_Fit
9,Tetris (Nintendo),"43,000,000",Game Boy,Nintendo,1989,img09,https://en.wikipedia.org/wiki/Tetris_(Nintendo)
10,Mario Kart 8,"41,860,000",Wii U / Nintendo Switch,Nintendo,2014,img10,https://en.wikipedia.org/wiki/Mario_Kart_8
11,Pac-Man,"40,955,092",Multiple Platforms,Nintendo,1980,img11,https://en.wikipedia.org/wiki/Pac-Man
12,Mario Kart Wii,"37,380,000",Wii,Nintendo,2008,img12,https://en.wikipedia.org/wiki/Mario_Kart_Wii
13,Red Dead Redemption 2,"36,000,000",Multiple Platforms,Rockstar Studios,2018,img13,https://en.wikipedia.org/wiki/Red_Dead_Redemption_2
14,Terraria,"35,000,000",Multiple Platforms,Re-Logic,2011,img14,https://en.wikipedia.org/wiki/Terraria
15,Wii Sports Resort,"33,140,000",Wii,Nintendo,2009,img15,https://en.wikipedia.org/wiki/Wii_Sports_Resort
16,Animal Crossing: New Horizons,"31,180,000",Nintendo Switch,Nintendo,2020,img16,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Horizons
17,New Super Mario Bros.,"30,180,000",Nintendo DS,Nintendo,2006,img17,https://en.wikipedia.org/wiki/New_Super_Mario_Bros.
18,New Super Mario Bros. Wii,"30,320,000",Wii,Nintendo,2009,img18,https://en.wikipedia.org/wiki/New_Super_Mario_Bros._Wii
19,The Elder Scrolls V: Skyrim,"30,000,000",Multiple Platforms,Bethesda Game Studios,2011,img19,https://en.wikipedia.org/wiki/The_Elder_Scrolls_V:_Skyrim
20,Call of Duty: Modern Warfare,"30,000,000",Multiple Platforms,Infinity Ward,2019,img20,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_(2019_video_game)
